station_id,date,latitude,longitude,rainfall
QC_AWS_001,2025-01-01,14.6510,121.0495,15.2
QC_AWS_001,2025-01-02,14.6510,121.0495,
QC_AWS_001,2025-01-03,14.6510,121.0495,8.5
QC_AWS_001,2025-01-04,14.6510,121.0495,22.3
QC_AWS_001,2025-01-05,14.6510,121.0495,0.0
QC_AWS_001,2025-01-06,14.6510,121.0495,12.7
QC_AWS_001,2025-01-07,14.6510,121.0495,
QC_AWS_001,2025-01-08,14.6510,121.0495,5.1
QC_AWS_001,2025-01-09,14.6510,121.0495,18.9
QC_AWS_001,2025-01-10,14.6510,121.0495,31.4
QC_AWS_001,2025-01-11,14.6510,121.0495,7.2
QC_AWS_001,2025-01-12,14.6510,121.0495,
QC_AWS_001,2025-01-13,14.6510,121.0495,25.6
QC_AWS_001,2025-01-14,14.6510,121.0495,
QC_AWS_001,2025-01-15,14.6510,121.0495,11.3
QC_AWS_002,2025-01-01,14.7015,121.1020,0.0
QC_AWS_002,2025-01-02,14.7015,121.1020,14.8
QC_AWS_002,2025-01-03,14.7015,121.1020,29.3
QC_AWS_002,2025-01-04,14.7015,121.1020,
QC_AWS_002,2025-01-05,14.7015,121.1020,
QC_AWS_002,2025-01-06,14.7015,121.1020,43.2
QC_AWS_002,2025-01-07,14.7015,121.1020,16.7
QC_AWS_002,2025-01-08,14.7015,121.1020,2.1
QC_AWS_002,2025-01-09,14.7015,121.1020,19.5
QC_AWS_002,2025-01-10,14.7015,121.1020,37.6
QC_AWS_002,2025-01-11,14.7015,121.1020,9.8
QC_AWS_002,2025-01-12,14.7015,121.1020,0.0
QC_AWS_002,2025-01-13,14.7015,121.1020,21.4
QC_AWS_002,2025-01-14,14.7015,121.1020,33.1
QC_AWS_002,2025-01-15,14.7015,121.1020,6.5
QC_AWS_003,2025-01-01,14.5210,121.0190,12.4
QC_AWS_003,2025-01-02,14.5210,121.0190,26.8
QC_AWS_003,2025-01-03,14.5210,121.0190,1.2
QC_AWS_003,2025-01-04,14.5210,121.0190,39.7
QC_AWS_003,2025-01-05,14.5210,121.0190,
QC_AWS_003,2025-01-06,14.5210,121.0190,
QC_AWS_003,2025-01-07,14.5210,121.0190,
QC_AWS_003,2025-01-08,14.5210,121.0190,4.3
QC_AWS_003,2025-01-09,14.5210,121.0190,17.9
QC_AWS_003,2025-01-10,14.5210,121.0190,28.5
QC_AWS_003,2025-01-11,14.5210,121.0190,7.6
QC_AWS_003,2025-01-12,14.5210,121.0190,0.0
QC_AWS_003,2025-01-13,14.5210,121.0190,32.1
QC_AWS_003,2025-01-14,14.5210,121.0190,19.3
QC_AWS_003,2025-01-15,14.5210,121.0190,8.8
